backoff_mode,WHP_min,WHP_max,FLP_min,FLP_max,BHP_min,BHP_max,binding_constraint,max_safe_rate,achieved_rate,pct_of_max_safe,violating_intervals,max_abs_move_pct
fixed 5 psi (submitted),235.6454357174736,329.03778569773937,125.58825219861477,212.95460135368364,2946.239008013269,3393.5815269416444,WHP_min,140.40261372659612,135.27197825978558,96.34576926267104,0,5.0
fixed 5 psi (submitted),188.92584073394988,329.17886441468863,160.59742222882082,212.33560741314605,2845.9975847615665,3284.8559379458957,FLP_min,149.48774577126866,141.27555848470993,94.50644784012985,0,5.0000000000000036
fixed 5 psi (submitted),228.11283472309847,327.7059047935041,135.6452108916917,208.0840161143328,2838.550565794906,3389.6525973971734,WHP_min,147.45548713069502,142.65946340390192,96.74747693685877,0,5.0
fixed 5 psi (submitted),182.4306426713061,321.96018586969683,149.57492987795987,200.4254804767028,2893.843954565348,3252.398759428536,BHP_min,156.09811540620024,154.60749004320934,99.04507151856896,0,5.0000000000000036
fixed 5 psi (submitted),225.4770601413857,315.38276169786235,162.16416883188026,200.99123745086112,2918.2634559224766,3260.003501315065,FLP_min,147.04539452486102,138.52331021236628,94.20445343423938,0,5.0
fixed 5 psi (submitted),200.6585987282475,312.908961958435,163.6424832313628,208.43347763342686,2801.772918634186,3286.2513571141517,FLP_min,144.7262667336088,135.85428381222383,93.86981843612725,0,5.0
fixed 5 psi (submitted),233.2870992395508,306.7760828525197,129.98218823341134,204.32496135511366,2867.2246129625464,3333.11357532599,WHP_min,142.70769640002607,137.7104284253824,96.4982491479396,0,5.0
fixed 5 psi (submitted),228.58264655476665,316.8142785601856,136.5368485772484,206.19344514021338,2913.624194194182,3343.975969362963,WHP_min,147.04539452486102,142.17283243505852,96.68635518606555,0,5.0
fixed 5 psi (submitted),237.54465856184652,311.0821323327504,147.1044604208515,208.90886302419753,2919.658241655012,3271.8210307279796,WHP_min,138.5846116838329,133.2648625915845,96.16137100099911,0,5.0
fixed 5 psi (submitted),204.3906202048876,327.2987688498689,126.72267554272817,212.34059420272254,2833.076807474245,3374.4705977917156,WHP_min,166.97108799998998,162.96752387289487,97.60224109751543,0,5.000000000000007
fixed 5 psi (submitted),180.59727364843752,310.9513847327481,128.14520148662558,209.78921864504957,2804.7698197199115,3355.397810598968,BHP_min,176.6944719689433,175.47452498799976,99.30957263838,0,5.000000000000002
fixed 5 psi (submitted),236.62808561652545,303.80451306783743,159.59113181603095,200.89196227400507,2826.1541016621777,3314.4661091767866,WHP_min,139.45307835273132,134.30817340947902,96.31065516514535,0,5.0
fixed 5 psi (submitted),209.33097281000786,329.29386965808135,156.02764752407313,204.6328604407889,2803.96735710016,3379.4680306283976,FLP_min,156.2514956651911,148.6067779013213,95.10742746408611,0,5.0
fixed 5 psi (submitted),232.8784303642614,315.32119516630934,138.771829238493,214.92376022241376,2813.18870907354,3277.4068568389844,WHP_min,143.04610585590459,138.07912532282833,96.52770657169818,0,5.0000000000000036
fixed 5 psi (submitted),232.8058872782442,324.37006194333765,151.71557622285405,214.37620447666927,2935.142915442884,3362.237275495263,WHP_min,143.13058417921982,138.2857131978349,96.61506937237226,0,5.0
fixed 5 psi (submitted),231.64208457286065,307.41440220966325,130.64986227604126,210.05092773972405,2892.9237073309505,3275.0579393173407,WHP_min,144.22429490645462,139.44186117448416,96.68403042977441,0,5.0000000000000036
fixed 5 psi (submitted),203.73343638629257,327.30767298648163,147.45603070200892,208.6750387238941,2788.825954578159,3328.9033372926815,WHP_min,167.46235532939295,161.1755160676924,96.24581939664318,0,5.0
fixed 5 psi (submitted),211.40608364369518,302.66806920738816,164.27770772506824,208.5709340068366,2751.281776532862,3365.8973801838083,FLP_min,143.6364132298381,134.68306864764514,93.76666098737347,0,5.0
fixed 5 psi (submitted),238.69594283040874,317.6961008496285,137.7872654513066,202.81261573591678,2884.5053267833737,3279.266109768521,WHP_min,137.44811665201897,132.09178504704803,96.10301564296316,0,5.0
fixed 5 psi (submitted),214.66127355107156,318.06717529138876,163.49692372497523,201.08397898294814,2849.9945647317236,3361.6146218923973,FLP_min,144.8931960805803,136.4743961182493,94.18965128103805,0,5.0
fixed 5 psi (submitted),190.63360442847954,311.64200195353556,127.51581993819886,210.88821295663666,2767.5535773518973,3309.263756253695,WHP_min,176.9536082112305,173.30093966433853,97.93580442703843,0,5.0
fixed 5 psi (submitted),232.41135786724394,314.16901010250035,161.5048773456354,211.4887567660831,2933.0647920223532,3269.110451357336,WHP_min,143.46800171756485,138.64736152150962,96.63991960692024,0,5.0
fixed 5 psi (submitted),184.41377431983793,302.10978760707656,159.75417177389278,209.51104969021165,2849.3143387597706,3274.531512429472,FLP_min,150.7725816688186,142.69518519396448,94.64266222316428,0,5.0
fixed 5 psi (submitted),220.42400626363641,309.5405216353739,153.4351945306378,206.90532993300988,2851.4939721089054,3368.4498598689806,WHP_min,154.16531913574585,149.70635821164734,97.10767574114884,0,5.0
fixed 5 psi (submitted),185.56472853140284,317.36275509970505,132.88939789183473,212.12205127720352,2847.769207225852,3398.304300005173,BHP_min,166.7599352788174,165.29749979011697,99.12302946972527,0,5.0
fixed 5 psi (submitted),190.97659948054311,328.890574203728,157.03668146434435,207.21890744862904,2912.706812835927,3340.4273357861675,BHP_min,151.72818244223947,146.95416086610734,96.85356965377903,0,5.0
