violating_intervals,worst_excursion_psi,rate_last30,offset,max_move,trial,scenario,gain_Q,gain_BHP,tau_Q,tau_BHP,worst_gain_err,worst_tau_err
0,0.0,150.0530169554226,0.05630487101572612,5.0,62,B,1.039464344329753,1.2058088287539943,0.5813236913069569,0.7618640158539373,0.2914617811178515,0.44170615552988624
0,0.0,165.10308954584062,-0.13512703898828704,5.0,62,C,1.039464344329753,1.2058088287539943,0.5813236913069569,0.7618640158539373,0.2914617811178515,0.44170615552988624
0,0.0,150.11692050735803,0.11415710865188089,5.0,63,B,0.7072608494033156,1.282978752571161,1.3976984351175483,1.015160366902642,0.2927391505966844,0.4606648859302718
0,0.0,164.79332053025155,-0.04256266267037745,5.0,63,C,0.7072608494033156,1.282978752571161,1.3976984351175483,1.015160366902642,0.2927391505966844,0.4606648859302718
0,0.0,150.11893346763821,0.12180416530210891,5.0,64,B,1.1996307096281384,1.2605716229547173,0.9396994499655313,0.6833562431051275,0.26057162295471725,0.31664375689487245
0,0.0,165.09316214429708,-0.12600581995795324,5.0,64,C,1.1996307096281384,1.2605716229547173,0.9396994499655313,0.6833562431051275,0.26057162295471725,0.31664375689487245
0,0.0,150.0342969021114,0.037409445561962684,5.0,65,B,0.877556108205648,0.7082427151698871,0.9338912243499314,0.824146375807376,0.2917572848301129,0.26219717185921976
0,0.0,164.97585079363682,-0.16511853580965408,5.0,65,C,0.877556108205648,0.7082427151698871,0.9338912243499314,0.824146375807376,0.2917572848301129,0.26219717185921976
0,0.0,150.06088989957962,0.05769270653038916,5.0,66,B,1.130344563577296,1.1656189914668684,1.330631441271759,0.699303909107,0.2997008113542161,0.34770503715118606
0,0.0,164.8058467156376,-0.14343499500438384,5.0,66,C,1.130344563577296,1.1656189914668684,1.330631441271759,0.699303909107,0.2997008113542161,0.34770503715118606
0,0.0,149.83064324669763,-0.16318302705045085,5.0,67,B,0.9593589786077596,1.167966862593149,1.3684311544172296,1.094374602512759,0.18323439136065933,0.3684311544172296
0,0.0,164.7481227117524,-0.26795198685547916,5.0,67,C,0.9593589786077596,1.167966862593149,1.3684311544172296,1.094374602512759,0.18323439136065933,0.3684311544172296
0,0.0,150.09911703408588,0.09955838691163876,5.0,68,B,1.1334269043586742,1.1384235975150416,1.0681923142926266,0.906612845033848,0.21151652732078619,0.39994579343894854
0,0.0,164.84371330766942,-0.09804960600763479,5.0,68,C,1.1334269043586742,1.1384235975150416,1.0681923142926266,0.906612845033848,0.21151652732078619,0.39994579343894854
0,0.0,149.93534839671082,-0.06430912578960601,5.0,69,B,0.8839043305184213,0.8588116010936173,1.3622755206430472,1.068184141901732,0.16117645640715272,0.36227552064304724
0,0.0,164.9426276078157,-0.21258635842772833,5.0,69,C,0.8839043305184213,0.8588116010936173,1.3622755206430472,1.068184141901732,0.16117645640715272,0.36227552064304724
0,0.0,150.05617769728943,0.05216830339116996,5.0,70,B,1.077075278727345,0.7898893275252772,0.6219022213353063,0.6657311519522722,0.23725006537910298,0.42356097908178303
9,0.8237156174618576,164.97832340393882,-0.2574337846126298,5.0,70,C,1.077075278727345,0.7898893275252772,0.6219022213353063,0.6657311519522722,0.23725006537910298,0.42356097908178303
0,0.0,150.1342028341314,0.12794250915834482,5.0,71,B,1.1843007580560938,0.9839223828331414,0.7165283006768245,0.7818281063347258,0.286433681671872,0.2834716993231755
0,0.0,164.99619617475713,-0.0570112609479736,5.0,71,C,1.1843007580560938,0.9839223828331414,0.7165283006768245,0.7818281063347258,0.286433681671872,0.2834716993231755
0,0.0,149.95108744358123,-0.05601788664554874,5.0,72,B,1.256122636437155,1.0667046714605046,1.1641418567485056,1.0819025790346892,0.25612263643715494,0.4152410327759861
0,0.0,164.8060062957623,-0.17368787692703336,5.0,72,C,1.256122636437155,1.0667046714605046,1.1641418567485056,1.0819025790346892,0.25612263643715494,0.4152410327759861
0,0.0,149.99063430311546,-0.0024996635049205906,5.0,73,B,1.1415541599387855,0.7783438349407347,0.583740323896779,0.9726175288334824,0.22165616505926533,0.4275588094659626
0,0.0,164.63006617255115,-0.27835746506679016,5.0,73,C,1.1415541599387855,0.7783438349407347,0.583740323896779,0.9726175288334824,0.22165616505926533,0.4275588094659626
0,0.0,149.7929208355906,-0.2111780175685567,5.0,74,B,1.237284344288589,0.9910763054137842,1.208702261432384,0.7657080687365831,0.23728434428858902,0.38986526363670393
0,0.0,164.67642271061513,-0.3105665661411763,5.0,74,C,1.237284344288589,0.9910763054137842,1.208702261432384,0.7657080687365831,0.23728434428858902,0.38986526363670393
0,0.0,149.8612807156099,-0.13898981470208582,5.0,75,B,0.7037060972705669,1.0941408699554063,1.1874150023133265,1.1692037223800513,0.2962939027294331,0.38472104692148557
0,0.0,164.70951040596069,-0.16465454167450844,5.0,75,C,0.7037060972705669,1.0941408699554063,1.1874150023133265,1.1692037223800513,0.2962939027294331,0.38472104692148557
0,0.0,150.1450675789724,0.14353846059952957,5.0,76,B,0.7039591142684228,0.9270216282451927,0.6189651624145176,0.877463431532434,0.29604088573157716,0.3810348375854824
